z_[m] , m_[kg/m] , x_cg_[m] , y_cg_[m] , ri_x_[m] , ri_y_[m] , x_sh_[m] , y_sh_[m] , E_[N/m^2] , G_[N/m^2] , I_x_[m^4] , I_y_[m^4] , I_p_[m^4] , k_x_[-] , k_y_[-] , A_[m^2]   , pitch_[deg] , x_e_[m] , y_e_[m]
0.0   , 715.02   , -0.00017 , 0        , 1.1664   , 1.1666   , 0.00     , 0        , 1.40E+10  , 1.00E+09  , 1.294E+00 , 1.294E+00 , 5.56E+00  , 1.40    , 1.40    , 6.950E-01 , 0.00        , 0.00    , 0.00
0.2   , 715.02   , -0.00017 , 0        , 1.1664   , 1.1666   , 0.00     , 0        , 1.40E+10  , 1.00E+09  , 1.294E+00 , 1.294E+00 , 5.56E+00  , 1.40    , 1.40    , 6.950E-01 , 0.00        , 0.00    , 0.00
1.2   , 814.46   , 0.02483  , 0        , 1.1577   , 1.1443   , 0.00     , 0        , 1.40E+10  , 1.00E+09  , 1.387E+00 , 1.397E+00 , 5.43E+00  , 1.40    , 1.40    , 7.707E-01 , 0.00        , 0.00    , 0.00
2.2   , 779.91   , 0.01416  , 0        , 1.1130   , 1.1588   , 0.02     , 0        , 1.40E+10  , 1.00E+09  , 1.247E+00 , 1.393E+00 , 4.99E+00  , 1.40    , 1.40    , 7.191E-01 , 0.00        , 0.02    , 0.00
3.2   , 779.37   , 0.02053  , 0        , 1.0589   , 1.1879   , 0.06     , 0        , 1.40E+10  , 1.00E+09  , 1.092E+00 , 1.413E+00 , 4.67E+00  , 1.40    , 1.40    , 7.048E-01 , 0.00        , 0.06    , 0.00
4.2   , 623.99   , 0.05475  , 0        , 1.0195   , 1.1828   , 0.11     , 0        , 1.40E+10  , 1.00E+09  , 7.702E-01 , 1.061E+00 , 3.47E+00  , 1.40    , 1.40    , 5.434E-01 , 0.00        , 0.11    , 0.00
5.2   , 474.21   , 0.10090  , 0        , 0.9814   , 1.1631   , 0.16     , 0        , 1.40E+10  , 1.00E+09  , 5.164E-01 , 7.300E-01 , 2.32E+00  , 1.40    , 1.40    , 3.922E-01 , 0.00        , 0.16    , 0.00
6.2   , 446.59   , 0.14360  , 0        , 0.9470   , 1.1530   , 0.21     , 0        , 1.40E+10  , 1.00E+09  , 4.507E-01 , 6.532E-01 , 1.91E+00  , 1.40    , 1.40    , 3.551E-01 , 0.00        , 0.21    , 0.00
7.2   , 421.93   , 0.19478  , 0        , 0.9129   , 1.1388   , 0.27     , 0        , 1.40E+10  , 1.00E+09  , 3.949E-01 , 5.759E-01 , 1.57E+00  , 1.40    , 1.40    , 3.210E-01 , 0.00        , 0.27    , 0.00
8.2   , 402.37   , 0.23929  , 0        , 0.8864   , 1.1045   , 0.33     , 0        , 1.40E+10  , 1.00E+09  , 3.557E-01 , 4.917E-01 , 1.16E+00  , 1.40    , 1.40    , 2.882E-01 , 0.00        , 0.33    , 0.00
9.2   , 420.9    , 0.29825  , 0        , 0.8493   , 1.0941   , 0.39     , 0        , 1.40E+10  , 1.00E+09  , 3.526E-01 , 5.007E-01 , 1.00E+00  , 1.40    , 1.40    , 2.884E-01 , 0.00        , 0.39    , 0.00
10.2  , 448.98   , 0.31059  , 0        , 0.8026   , 1.1015   , 0.46     , 0        , 1.40E+10  , 1.00E+09  , 3.351E-01 , 5.120E-01 , 8.56E-01  , 1.40    , 1.40    , 2.978E-01 , 0.00        , 0.46    , 0.00
11.2  , 438.97   , 0.30660  , 0        , 0.7495   , 1.1394   , 0.52     , 0        , 1.40E+10  , 1.00E+09  , 2.821E-01 , 5.194E-01 , 6.72E-01  , 1.40    , 1.40    , 2.916E-01 , 0.00        , 0.52    , 0.00
12.2  , 427.77   , 0.27020  , 0        , 0.7104   , 1.1856   , 0.56     , 0        , 1.40E+10  , 1.00E+09  , 2.419E-01 , 5.058E-01 , 5.47E-01  , 1.40    , 1.40    , 2.919E-01 , 0.00        , 0.56    , 0.00
13.2  , 401.69   , 0.27650  , 0        , 0.6825   , 1.1665   , 0.57     , 0        , 1.40E+10  , 1.00E+09  , 2.096E-01 , 4.460E-01 , 4.49E-01  , 1.40    , 1.40    , 2.620E-01 , 0.00        , 0.57    , 0.00
14.2  , 371.57   , 0.31629  , 0        , 0.6579   , 1.1231   , 0.57     , 0        , 1.40E+10  , 1.00E+09  , 1.835E-01 , 3.606E-01 , 3.36E-01  , 1.40    , 1.40    , 2.248E-01 , 0.00        , 0.57    , 0.00
15.2  , 368.05   , 0.32025  , 0        , 0.6353   , 1.1103   , 0.57     , 0        , 1.40E+10  , 1.00E+09  , 1.706E-01 , 3.535E-01 , 3.11E-01  , 1.40    , 1.40    , 2.151E-01 , 0.00        , 0.57    , 0.00
16.2  , 364.96   , 0.32388  , 0        , 0.6200   , 1.0933   , 0.56     , 0        , 1.40E+10  , 1.00E+09  , 1.623E-01 , 3.434E-01 , 2.92E-01  , 1.40    , 1.40    , 2.059E-01 , 0.00        , 0.56    , 0.00
18.2  , 357.37   , 0.32731  , 0        , 0.5905   , 1.0556   , 0.55     , 0        , 1.40E+10  , 1.00E+09  , 1.464E-01 , 3.215E-01 , 2.61E-01  , 1.40    , 1.40    , 1.867E-01 , 0.00        , 0.55    , 0.00
20.2  , 347.54   , 0.34262  , 0        , 0.5611   , 1.0207   , 0.54     , 0        , 1.40E+10  , 1.00E+09  , 1.306E-01 , 3.031E-01 , 2.29E-01  , 1.40    , 1.40    , 1.684E-01 , 0.00        , 0.54    , 0.00
22.2  , 339.1    , 0.33416  , 0        , 0.5275   , 0.9940   , 0.53     , 0        , 1.40E+10  , 1.00E+09  , 1.135E-01 , 2.854E-01 , 2.01E-01  , 1.40    , 1.40    , 1.533E-01 , 0.00        , 0.53    , 0.00
24.2  , 330.5    , 0.32614  , 0        , 0.4927   , 0.9663   , 0.51     , 0        , 1.40E+10  , 1.00E+09  , 9.728E-02 , 2.679E-01 , 1.74E-01  , 1.40    , 1.40    , 1.389E-01 , 0.00        , 0.51    , 0.00
26.2  , 310.4    , 0.35437  , 0        , 0.4493   , 0.9220   , 0.50     , 0        , 1.40E+10  , 1.00E+09  , 7.874E-02 , 2.462E-01 , 1.44E-01  , 1.40    , 1.40    , 1.166E-01 , 0.00        , 0.50    , 0.00
28.2  , 302.38   , 0.33451  , 0        , 0.4043   , 0.8854   , 0.48     , 0        , 1.40E+10  , 1.00E+09  , 6.256E-02 , 2.242E-01 , 1.20E-01  , 1.40    , 1.40    , 1.023E-01 , 0.00        , 0.48    , 0.00
